sentence1,sentence2,label,idx,label_ok,CosCls,EucCls,IcmCls,CosAvg,EucAvg,IcmAvg,CosSum,EucSum,IcmSum,CosF_ind,EucF_ind,IcmF_ind,CosF_joint,EucF_joint,IcmF_joint,CosF_inf,EucF_inf,IcmF_inf,model
A man with a hard hat is dancing.,A man wearing a hard hat is dancing.,5.0,0,1.0,0.9999999403953552,1.0,0.7456894045099264,0.9960149526596069,0.8401160920690748,0.6556734004584062,0.9960149526596069,0.9487827153793269,0.07311086849509411,0.9988056421279907,0.9384241317781514,0.23740908081149853,0.9998509287834167,0.9824125543156109,0.504697213308297,0.9996485710144043,0.963797206085457,0.2792696922950869,glove-twitter-25
A young child is riding a horse.,A child is riding a horse.,4.75,1,0.9500000000000001,0.8335261940956116,0.6496256071525466,0.5541676458815765,0.9973018765449524,0.8756044445343438,0.5940652569063478,0.9973019361495972,0.9350010199338482,0.043880232021370855,0.9990937113761902,0.9245862696122731,0.17376817533342953,0.9998654723167419,0.9838285102999947,0.569668684377256,0.9997103214263916,0.9706953768435086,0.25159369818263055,glove-twitter-25
A man is feeding a mouse to a snake.,The man is feeding a mouse to the snake.,5.0,2,1.0,0.9999999403953552,1.0,0.7456894045099264,0.9789084792137146,0.6468557902402864,0.6017296351906145,0.9789084196090698,0.874304005151185,0.0863816709719126,0.9805285334587097,0.7423890220873763,0.2615261051024982,0.9844926595687866,0.8266038790480679,0.5651473223227614,0.9819740653038025,0.7975387889878868,0.28878923383533855,glove-twitter-25
A woman is playing the guitar.,A man is playing guitar.,2.4000000953674316,3,0.48000001907348633,0.765417754650116,0.5409147246720292,0.5904030126894899,0.9869905114173889,0.7095228450756386,0.6737112113710044,0.9869903922080994,0.8997556311670031,0.03436153877692452,0.9920597076416016,0.8316856232335781,0.1478308203203304,0.996051013469696,0.9167394009345061,0.5065166020890355,0.9951385855674744,0.9065446810400084,0.20024839916933052,glove-twitter-25
A woman is playing the flute.,A man is playing a flute.,2.75,4,0.55,0.765417754650116,0.5409147246720292,0.5904030126894899,0.9781430959701538,0.6434083913365403,0.6010503571834713,0.9781428575515747,0.9111538677740554,0.037636586986920254,0.9773463606834412,0.7674496965213415,0.16044984825721514,0.9802071452140808,0.7958681856109575,0.6325877909851119,0.9788969159126282,0.799052431988089,0.22422289787634625,glove-twitter-25
A woman is cutting an onion.,A man is cutting onions.,2.615000009536743,5,0.5230000019073486,0.765417754650116,0.5409147246720292,0.5904030126894899,0.9812811613082886,0.6915542796205276,0.49443806924500405,0.9812812805175781,0.9105999678050934,0.025960382079684586,0.9778094291687012,0.778716220626161,0.13251917950224096,0.9727959036827087,0.7519548298275144,0.6468198819630229,0.9735555648803711,0.7724206543271624,0.2367842092636267,glove-twitter-25
A man is erasing a chalk board.,The man is erasing the chalk board.,5.0,6,1.0,0.9999999403953552,1.0,0.7456894045099264,0.9623547792434692,0.5585697323745619,0.4456031040025103,0.9623547792434692,0.874304005151185,0.04085070318376045,0.9751126170158386,0.7459507381168727,0.18001071097521532,0.9877194762229919,0.8166238938978927,0.7047148831521064,0.9836459159851074,0.7912268100226436,0.2949792892624242,glove-twitter-25
A woman is carrying a boy.,A woman is carrying her baby.,2.3329999446868896,7,0.466599988937378,1.000000238418579,1.0,0.6704884746562783,0.9838282465934753,0.6909423800423767,0.6156791594223523,0.9838281869888306,0.9229971450751335,0.03843637869171537,0.9775828719139099,0.7700822998561236,0.1575214894487384,0.9797801971435547,0.8119219885896549,0.4865229317659617,0.9776920676231384,0.7946615692360072,0.22449298923701844,glove-twitter-25
Three men are playing guitars.,Three men are on stage playing guitars.,3.75,8,0.75,1.0000001192092896,1.0,0.6113025179289362,0.9852949380874634,0.7350137993186415,0.41831529932321526,0.9852948784828186,0.8624531327295338,0.02689554870439829,0.9843879342079163,0.7608928694847341,0.11709762024028668,0.991328239440918,0.8727322056997058,0.5585708122016322,0.9887298345565796,0.8548356202190632,0.1640945307973118,glove-twitter-25
A woman peels a potato.,A woman is peeling a potato.,5.0,9,1.0,1.000000238418579,1.0,0.6704884746562783,0.9848634004592896,0.7185247833436221,0.39132737733619644,0.98486328125,0.9010834547646237,0.021128370299857258,0.9882053732872009,0.8157618906157745,0.13196828534554939,0.9910159111022949,0.8491437614952194,0.8064505822274046,0.990053117275238,0.8528845793685684,0.2833769436763431,glove-twitter-25
